###,,,
###,,,
###,,,
#  The overall V-band flux provided by AAVSO from MJD 58193-58991,,,
#  which has been extinction corrected with E(B-V) = 0.23,,,
"#  Thus the luminosities in V-band of the source are estimated L_v = 4*pi*D^2 * flux, for the source distance D = 2.96 kpc",,,
"#  The columns are date in modified Julien date, flux and its error",,,
# The uncertainties in the flux are quoted at 1-sigma confidence level,,,
#  The flux and its error are in  units of erg/s/cm^2,,,
####,,,
####,,,
,,,
,mjd,flux_23,flux23_err
134,58366.49044,1.51E-10,7.99E-14
135,58367.41296,1.46E-10,8.63E-14
136,58368.4156,1.39E-10,5.04E-14
137,58369.07203,1.46E-10,2.70E-13
138,58370.46466,1.38E-10,6.76E-14
139,58371.82243,1.42E-10,7.12E-14
140,58372.44607,1.39E-10,7.37E-14
141,58373.77453,1.43E-10,1.08E-13
142,58374.61622,1.22E-10,5.76E-14
143,58375.54491,1.25E-10,2.14E-13
144,58376.2858,1.16E-10,1.02E-13
145,58377.42152,1.15E-10,8.92E-14
146,58378.14875,1.18E-10,1.77E-13
147,58379.26619,1.05E-10,6.53E-14
148,58380.10791,9.97E-11,1.14E-13
149,58381.42501,1.03E-10,9.25E-14
150,58382.46242,9.73E-11,5.17E-14
151,58383.13818,8.85E-11,5.16E-13
152,58384.18083,1.05E-10,6.13E-14
153,58385.14733,8.67E-11,6.83E-14
154,58386.27319,1.02E-10,1.80E-13
155,58387.74787,6.81E-11,4.15E-14
156,58388.61412,7.17E-11,4.41E-14
157,58389.55628,6.62E-11,3.71E-14
158,58390.83151,4.66E-11,3.28E-14
159,58391.31581,6.42E-11,5.97E-14
160,58392.42453,6.45E-11,6.40E-14
161,58393.57132,5.71E-11,6.23E-14
162,58394.85476,4.90E-11,1.37E-13
163,58396.41133,4.80E-11,4.98E-14
164,58397.39643,5.75E-11,4.13E-14
165,58398.81929,7.03E-11,9.25E-14
166,58400.51561,8.15E-11,5.46E-14
167,58401.56104,7.89E-11,6.56E-14
168,58402.1422,9.04E-11,6.23E-14
169,58403.19634,8.21E-11,1.58E-13
170,58404.19927,9.64E-11,1.39E-13
171,58405.11198,8.96E-11,1.93E-13
172,58406.11789,8.57E-11,2.35E-13
173,58408.15518,8.20E-11,1.87E-13
174,58409.56136,7.27E-11,7.40E-14
175,58410.1551,7.93E-11,6.01E-13
176,58411.68336,6.21E-11,5.30E-14
177,58412.68019,6.24E-11,4.89E-14
178,58413.08646,7.31E-11,1.04E-13
179,58414.07475,6.97E-11,7.61E-14
180,58416.10421,6.49E-11,2.08E-13
181,58417.09965,6.02E-11,2.38E-13
182,58421.11289,5.50E-11,2.68E-13
183,58422.13556,5.05E-11,8.44E-14
184,58424.43122,4.19E-11,5.90E-14
185,58426.75852,3.47E-11,5.12E-14
186,58430.1095,3.84E-11,6.05E-14
187,58431.10241,3.46E-11,1.44E-13
188,58432.09954,3.36E-11,7.79E-14
189,58553.74404,2.83E-11,2.61E-13
190,58554.59139,3.62E-11,1.04E-13
191,58555.78666,5.59E-11,1.76E-13
192,58556.76489,5.56E-11,9.02E-14
193,58557.49656,6.25E-11,5.41E-14
194,58558.51207,7.05E-11,6.53E-14
195,58559.52448,9.05E-11,6.24E-14
196,58560.47897,1.07E-10,9.66E-14
197,58561.58292,1.09E-10,6.55E-14
198,58562.63509,1.07E-10,1.02E-13
199,58563.39076,1.11E-10,1.27E-12
200,58564.74727,1.05E-10,1.22E-13
201,58565.73776,1.16E-10,1.39E-13
202,58566.4936,1.05E-10,8.49E-14
203,58567.41906,1.06E-10,1.11E-13
204,58568.36682,1.02E-10,6.52E-13
205,58569.34566,1.04E-10,1.31E-13
206,58570.34959,9.52E-11,4.16E-13
207,58571.34503,9.72E-11,3.14E-13
208,58572.34884,9.16E-11,1.17E-13
209,58573.46892,9.29E-11,6.97E-14
210,58574.46982,8.27E-11,5.19E-14
211,58575.38823,9.58E-11,5.81E-13
212,58576.36466,8.50E-11,4.29E-13
213,58579.32528,7.07E-11,5.79E-13
214,58580.45586,6.61E-11,7.86E-14
215,58581.32769,6.15E-11,9.99E-14
216,58582.3479,7.26E-11,6.81E-13
217,58583.47613,5.44E-11,4.40E-14
218,58584.47624,5.54E-11,4.60E-14
219,58585.70372,5.89E-11,1.46E-13
220,58588.04685,4.65E-11,7.70E-13
221,58706.86845,1.79E-11,2.15E-13
222,58711.05443,6.62E-11,9.14E-13
223,58712.05102,7.29E-11,6.93E-13
224,58713.04818,8.14E-11,5.55E-13
225,58714.81465,9.38E-11,1.37E-13
226,58715.13617,8.73E-11,8.85E-14
227,58716.06233,1.02E-10,1.69E-13
228,58717.93531,1.00E-10,1.81E-13
229,58718.3533,1.02E-10,6.65E-14
230,58719.24302,1.01E-10,6.76E-14
231,58720.37798,1.01E-10,5.99E-14
232,58721.23407,1.07E-10,9.40E-14
233,58722.90303,9.99E-11,1.49E-13
234,58723.10398,1.00E-10,9.65E-14
235,58724.57651,9.91E-11,8.88E-14
236,58725.44869,8.75E-11,1.63E-13
237,58726.9311,8.88E-11,1.53E-13
238,58727.09127,9.07E-11,1.01E-13
239,58728.27419,8.83E-11,5.57E-13
240,58729.48703,8.23E-11,6.34E-13
241,58730.4759,7.56E-11,8.23E-14
242,58732.08526,7.56E-11,1.11E-13
243,58733.04969,7.14E-11,2.36E-13
244,58736.38236,7.03E-11,3.33E-13
245,58737.86734,7.78E-11,1.29E-12
246,58743.82572,4.02E-11,4.45E-13
247,58744.03139,4.09E-11,1.36E-13
248,58745.02836,3.75E-11,1.23E-13
249,58746.87072,3.36E-11,5.22E-14
250,58748.04125,3.35E-11,1.16E-13
251,58755.82773,1.86E-11,9.03E-14
252,58899.46914,2.39E-11,3.52E-13
253,58900.46536,3.43E-11,5.06E-13
254,58901.46531,4.00E-11,6.64E-13
255,58902.46586,4.74E-11,6.99E-13
256,58906.45259,9.04E-11,1.18E-13
257,58908.42543,9.16E-11,8.43E-13
258,58913.43156,7.80E-11,8.62E-13
259,58915.43323,7.68E-11,1.62E-13
260,58926.00727,5.53E-11,1.53E-13
261,58928.02838,4.53E-11,8.34E-14
262,58931.9937,3.85E-11,7.09E-14
263,58934.81243,2.99E-11,1.55E-13
264,58938.9697,2.14E-11,3.94E-14
265,58940.9658,3.82E-11,1.76E-13
266,58942.97843,3.15E-11,2.61E-13
267,58945.98319,1.99E-11,1.47E-13
268,58961.92685,4.45E-12,7.78E-14
269,58983.9063,4.65E-12,7.70E-14
270,58988.8667,4.71E-12,7.82E-14
271,58990.86369,4.10E-12,7.18E-14
