###,,,
###,,,
###,,,
# LE counts rate ,,,
# for MAXI J1820+070 ,,,
,,,
# The uncertainties in count rates are quoted at 1-sigma confidence level,,,
,,,
#,,,
# This file is used to plot the LE light curve in Figure 1.,,,
#,,,
,,,
,,,
####,,,
####,,,
date(MJD),err(MJD),counts rate(photons/s),err(photons/s)
58233.6727,0.082633102,846.0297053,0.648277679
58233.86638,0.069091435,846.2448425,0.573251982
58235.45848,0.070827546,839.8149446,0.665816487
58235.66959,0.004508102,832.9754399,0.605032314
58236.66552,0.081244213,864.297587,0.651994087
58236.84825,0.067702546,865.796765,0.665734437
58238.03582,0.035063657,832.003366,1.039565159
58238.16918,0.036105324,826.8143769,1.12663366
58238.30897,0.002077546,814.6329178,1.514825727
58239.24941,0.053119213,822.61948,1.020753926
58239.3833,0.052771991,819.2892905,1.122000226
58239.50122,0.001383102,835.4446967,1.879602224
58240.5102,0.081244213,813.8555203,0.842281037
58240.71955,0.070827546,819.1919579,0.580397221
58241.2852,0.035063657,799.4003553,1.168709376
58241.50619,0.000601852,781.7839024,2.747477667
58242.2126,0.036452546,799.1955862,0.866003362
58242.31353,0.001730324,812.1961373,1.656301698
58242.48054,0.032980324,810.3391203,1.156408365
58243.53922,0.098605324,795.2021404,0.529079673
58244.56128,0.070480324,779.7295827,0.647879242
58245.55487,0.071174769,799.6192726,0.545127421
58246.54672,0.07291088,783.7274779,0.521190205
58246.71385,0.03853588,785.0226269,0.683077049
58246.81399,0.005549769,797.1380128,0.947049605
58247.67513,0.073258102,790.0724461,0.550680705
58248.66652,0.071174769,784.5248382,0.548621278
58250.23017,0.036799769,774.0960611,0.829506866
58250.39346,0.065966435,771.2243451,0.618961165
58250.52248,0.004508102,769.2372242,0.999505128
58251.12251,0.071869213,777.1755964,0.536286901
58252.64318,0.073605324,757.4976384,0.565369901
58253.24307,0.067008102,764.9198372,0.824612885
58254.62964,0.073605324,741.7942374,0.470394465
58255.75758,0.074299769,737.813132,0.422774299
58255.92288,0.040271991,739.0932042,0.551849625
58256.02365,0.005202546,731.4785192,0.90755412
58256.75059,0.074994213,737.0930969,0.437682266
58256.91698,0.039924769,734.3278792,0.608654231
58257.01721,0.005202546,728.7258685,0.905920956
58257.54515,0.071869213,730.1079707,0.545985125
58257.71022,0.041313657,730.0400124,0.541836866
58257.81177,0.006938657,720.573276,0.800422566
58258.73892,0.07291088,718.1985171,0.449713961
58258.90348,0.039577546,705.0154135,0.600870231
58259.03719,0.037841435,704.956706,0.697095695
58259.17003,0.034021991,705.9039364,0.923427125
58259.29494,0.036799769,708.944028,0.696101726
58259.42976,0.039577546,712.8263278,0.623477529
58259.56367,0.039924769,710.9899099,0.603577996
58259.69758,0.041313657,716.3899399,0.55005525
58260.25892,0.065966435,702.1484412,0.663233213
58260.42288,0.039924769,690.4572441,0.613851586
58260.52337,0.005549769,688.358774,0.880852523
58261.12281,0.066313657,669.4766819,0.701721637
58261.28249,0.03541088,660.0944716,0.843442672
58261.38265,0.006244213,651.2557248,0.857536101
58263.23587,0.068396991,600.1924105,0.57378126
58263.40323,0.039924769,592.2171384,0.551754399
58263.50346,0.006244213,589.5805005,0.745321044
58265.90013,0.080202546,559.4992361,0.417984633
58266.8958,0.078813657,572.4085196,0.441452142
58267.75916,0.076730324,573.7425915,0.44403511
58267.88892,0.014230324,567.5508438,0.731967531
58268.81777,0.079855324,537.7089292,0.385441073
58268.95029,0.013188657,539.0480488,0.649388384
58269.81353,0.076730324,540.2638129,0.413358551
58269.94406,0.01353588,540.605082,0.677566283
58270.81279,0.070827546,527.4130647,0.368349201
58270.9701,0.046521991,524.9881437,0.475835477
58271.8058,0.071174769,514.682915,0.385167745
58271.96301,0.046174769,513.158424,0.473400467
58272.07182,0.00443287,510.5157899,0.823489081
58272.80126,0.073258102,480.8433886,0.327949115
58272.95895,0.049299769,471.3696163,0.425309001
58273.06802,0.006938657,473.1413704,0.634311753
58273.86196,0.073952546,470.2550779,0.322451915
58274.85536,0.073952546,449.175365,0.324980999
58274.98913,0.007633102,449.3960485,0.589440574
58275.71777,0.068744213,393.3641482,0.316874259
58275.86015,0.033674769,432.9161408,0.54417819
58276.80918,0.03853588,414.1576251,0.462329702
58280.38615,0.036105324,338.0429689,0.583345903
58280.51892,0.041313657,333.5229304,0.357307725
58283.00381,0.071174769,278.3713686,0.337611943
58283.13402,0.003119213,281.6655682,0.73505052
58285.98587,0.003119213,244.9711345,0.68520974
58286.24589,0.000688657,252.2067606,1.475484198
58286.312,0.002077546,241.2871534,0.833829949
58288.92855,0.039577546,241.1974627,0.345196918
58290.81038,0.068049769,249.8521228,0.320812211
58292.31421,0.037146991,279.0315692,0.701009854
58293.6309,0.029774306,301.0795169,0.732346129
58295.83277,0.020480324,378.0402892,0.734523555
58297.53549,0.001383102,342.2274669,1.047220188
58297.62044,0.049299769,446.8723245,0.650718113
58297.73865,0.035758102,447.9792356,0.605502216
58297.83744,0.002077546,442.9722662,1.123146434
58298.0327,0.034716435,465.3975143,0.849109501
58300.94821,0.036452546,618.2196179,0.706323767
58301.08108,0.036105324,624.5071587,0.869467223
58305.91749,0.03853588,3074.811596,1.357220326
58306.05115,0.037494213,3071.509644,1.497400254
58306.1852,0.036105324,3084.452479,1.954104242
58307.11207,0.037146991,2792.533218,1.520831168
58307.28006,0.066313657,2915.56319,2.050803233
58308.17457,0.035063657,3034.318104,2.018211395
58308.30598,0.034021991,3004.439742,2.365310338
58309.1674,0.036799769,3019.450166,1.631848386
58309.26777,0.002771991,3013.844862,2.512483652
58310.09369,0.038188657,2975.733155,1.384906557
58310.22816,0.035063657,2980.175881,1.824698013
58311.31374,0.063188657,2827.838606,1.745711251
58312.91008,0.070133102,2882.308519,1.163940498
58314.13559,0.035758102,2920.853761,1.709521465
58314.29476,0.065271991,2891.298935,1.557741396
58316.85024,0.03541088,2827.662763,1.622353424
58316.98159,0.036799769,2818.719443,1.472059537
58317.74406,0.069438657,2804.00656,1.615682604
58318.53916,0.068744213,2741.733168,1.479152783
58320.78763,0.072216435,2739.448573,0.950795052
58320.9542,0.036359954,2780.269619,1.579164362
58321.05508,0.002771991,2787.927382,2.416639351
58322.84367,0.069438657,2758.66889,1.097295409
58323.03591,0.062146991,2749.627822,1.473809406
58325.04523,0.067835648,2701.136772,1.316395877
58325.18531,0.036452546,2682.26858,1.303910411
58326.29612,0.058327546,2604.154233,1.031995021
58326.44848,0.040966435,2599.660142,1.031194011
58326.57987,0.037841435,2596.682529,1.084981262
58327.18684,0.089230324,2555.251443,1.00410155
58329.04084,0.089577546,2464.261193,0.990133603
58330.72205,0.070271991,2392.907292,1.030706065
58331.76191,0.089577546,2330.464274,0.795185839
58332.537,0.06712963,2299.799368,1.048431157
58332.71021,0.068744213,2298.942289,0.947226043
58334.58851,0.069438657,2241.529272,0.891904718
58334.73159,0.034369213,2223.087522,1.204588045
58335.58177,0.072563657,2190.982804,0.722021973
58336.42136,0.067581019,2188.044231,4.103734528
58338.6274,0.070827546,2094.701851,0.799979017
58338.75832,0.006591435,2087.105793,1.357404346
58339.55723,0.068049769,2066.824977,0.825593061
58341.67494,0.070480324,1964.348636,0.885788418
58343.59855,0.068744213,1940.632061,0.951014798
58345.32017,0.070133102,1867.649342,0.834708745
58347.3083,0.06978588,1813.314131,0.851266702
58349.75832,0.067008102,1738.002361,1.003266406
58352.59721,0.071521991,1662.511148,1.007182914
58356.77182,0.004508102,1596.807083,1.638095524
58357.03855,0.00103588,1566.926563,2.963164347
58358.62872,0.070827546,1526.680288,0.997899944
58360.05778,0.037494213,1467.785347,1.058973442
58362.07705,0.069091435,1412.102214,0.944253983
58364.68573,0.068049769,1364.361112,1.197240315
58367.00634,0.002349537,1322.727815,1.811043211
58376.14374,0.063188657,1096.18284,0.775979487
58376.272,0.003119213,1090.732871,1.428089256
58377.53904,0.06978588,1061.733903,0.586317337
58379.42103,0.097216435,1012.713326,0.619944973
58381.17179,0.06978588,962.8721597,0.683963006
58382.70962,0.066313657,929.5934534,0.702503375
58383.55927,0.071521991,915.2501114,0.503754427
58385.28237,0.07291088,804.279753,0.528365574
58387.27043,0.073605324,608.9637563,0.40878191
58389.00469,0.057980324,359.4776036,0.466188562
58389.15764,0.039230324,335.6369752,0.42621708
58389.29069,0.040619213,321.6096237,0.360643274
58389.77441,0.033674769,277.4664296,0.598898713
58389.96253,0.04478588,257.7503191,0.423080602
58390.08365,0.038883102,246.6067274,0.38266868
58390.80251,0.066313657,216.5615272,0.418069736
58390.95355,0.048258102,207.1104016,0.350499932
58391.07744,0.03853588,200.0943205,0.357943729
58391.8192,0.044091435,164.8762937,0.31631203
58391.94845,0.047563657,162.6611504,0.32015062
58392.07144,0.037841435,157.9521289,0.319267353
58393.1126,0.059021991,145.4186563,0.27904484
58393.33275,0.105202546,146.5496989,0.189711194
58394.84455,0.068396991,107.9406996,0.258853461
58394.99841,0.046869213,109.6620857,0.25761708
58395.11935,0.037494213,109.0464282,0.286408643
58395.63927,0.069091435,99.6243701,0.18694783
58395.79388,0.047216435,97.71587724,0.239085589
58395.93653,0.037146991,62.30809934,0.181125058
58396.04425,0.035758102,94.90961057,0.266771
58397.08418,0.056244213,75.55091514,0.300406368
58397.24161,0.037841435,73.64838287,0.234457957
58397.37405,0.036452546,71.35990929,0.227120562
58398.35821,0.067008102,53.57955623,0.152155268
58398.51192,0.046869213,50.78733929,0.142169574
58398.63247,0.034021991,49.34229942,0.186997575
58399.23929,0.047216435,44.1030211,0.202961584
58399.37355,0.04478588,44.04223372,0.14280168
58399.49374,0.034369213,42.03963649,0.205629071
58400.54774,0.067008102,35.57799965,0.129345577
58400.6994,0.047563657,34.59629699,0.132593642
58400.8064,0.006591435,33.82086319,0.192047256
58401.70052,0.040271991,28.40814437,0.122671001
58402.89552,0.035758102,24.25996244,0.157067992
58403.8558,0.067702546,21.66235319,0.111131869
58405.17279,0.00103588,19.0852996,0.394574569
58406.10153,0.000925926,16.37712687,0.393671467
58406.802,0.096174769,15.80245988,0.092503861
58408.1224,0.035891204,14.67629526,0.17585283
58408.81957,0.004855324,13.35638687,0.161145956
58409.11587,0.036105324,13.38501996,0.150544596
58411.00304,0.001383102,10.73130713,0.28493769
58412.98941,0.002077546,9.416029987,0.2251383
