###,,,
###,,,
###,,,
# ME counts rate ,,,
# for MAXI J1820+070 ,,,
,,,
# The uncertainties in count rates are quoted at 1-sigma confidence level,,,
,,,
#,,,
# This file is used to plot the ME light curve in Figure 1.,,,
#,,,
,,,
,,,
####,,,
####,,,
date(MJD),err(MJD),counts rate(photons/s),err(photons/s)
58231.06387,0.05103588,305.8055756,0.516642627
58231.16492,0.082459491,305.4911129,1.069573572
58231.89399,0.086105324,302.5461387,0.296178555
58232.05807,0.070827546,305.647342,0.488996251
58232.1922,0.086105324,302.2087575,0.579056791
58233.68641,0.082980324,292.4858694,0.30532656
58233.88164,0.084369213,292.7893724,0.296839633
58235.45848,0.051903935,286.3906659,0.34893385
58235.67238,0.017355324,283.3109894,0.281632496
58236.66846,0.084542824,285.1399512,0.293150264
58236.8663,0.086105324,287.3349069,0.289161271
58238.04015,0.039751157,282.6557368,0.409854689
58238.18949,0.056765046,277.0288626,0.369581752
58238.30706,0.038015046,275.6997712,0.387959443
58239.2515,0.056938657,272.4219953,0.335120786
58239.38348,0.053292824,273.4402198,0.405484651
58239.50314,0.03541088,274.2443424,0.516286041
58240.51054,0.082633102,267.2277954,0.342330995
58240.71104,0.084195602,267.9490223,0.304136883
58241.30378,0.053987269,261.956175,0.370461717
58241.44708,0.060063657,263.2307165,0.481979125
58241.52064,0.002424769,262.6817868,0.942881966
58242.23153,0.05572338,259.5423673,0.341527521
58242.34931,0.037841435,259.6777775,0.487360047
58242.48142,0.034195602,260.1087299,0.546564478
58243.54044,0.100167824,255.6315247,0.292750582
58244.56023,0.073952546,249.2589132,0.313171086
58245.55382,0.073952546,249.619919,0.314033586
58246.54741,0.073952546,243.8268839,0.313290686
58246.71576,0.040792824,245.0418266,0.368999936
58246.81589,0.007806713,248.1162772,0.512992842
58247.67581,0.074299769,241.2824447,0.297761632
58248.66928,0.074299769,240.5805084,0.297060697
58250.23069,0.037667824,233.7378736,0.498841156
58250.39363,0.066487269,234.5744432,0.333910455
58250.52153,0.006591435,233.216572,0.546833121
58251.12251,0.072216435,231.8934588,0.336747433
58252.64309,0.074299769,227.6320418,0.288596357
58253.2427,0.068049769,228.8759712,0.423696845
58254.63015,0.07447338,221.9592348,0.279921961
58255.75774,0.074820602,217.4486616,0.262986008
58255.9288,0.046521991,218.6667738,0.330957933
58256.02972,0.011626157,217.435767,0.50529215
58256.75058,0.075341435,215.9810115,0.260164549
58256.92272,0.046695602,216.0212438,0.322331495
58257.02363,0.01197338,214.758802,0.491283827
58257.54531,0.072390046,212.3971791,0.291678573
