    58381.170000    4.740933E-02        1.039747
    58382.740000    4.613779E-02        1.053466
    58383.540000    4.550477E-02        1.178204
    58385.280000    4.414498E-02        1.359080
    58387.270000    4.264776E-02        1.952360
    58389.020000    4.137677E-02        4.308442
    58389.160000    4.127390E-02        4.742848
    58389.290000    4.117814E-02        4.886867
    58389.780000    4.083339E-02        6.788582
    58389.960000    4.070063E-02        6.914565
    58390.080000    4.061568E-02        6.938369
    58390.800000    4.011224E-02        8.366438
    58390.950000    4.000762E-02        9.479958
    58391.080000    3.992132E-02       10.367370
    58391.820000    3.940959E-02       14.039950
    58391.950000    3.932330E-02       13.791570
    58392.070000    3.923873E-02       14.889450
    58393.120000    3.852887E-02       14.287290
    58393.330000    3.838955E-02       14.691860
    58394.840000    3.739354E-02       21.089210
    58395.000000    3.729664E-02       22.270680
    58395.120000    3.721705E-02       18.901910
    58395.640000    3.688148E-02       24.784030
    58395.790000    3.678240E-02       23.404730
    58395.920000    3.670078E-02       36.858610
    58396.040000    3.662343E-02       25.487240
    58397.100000    3.596059E-02       32.831490
    58397.250000    3.586588E-02       32.258580
    58397.370000    3.578978E-02       32.294070
    58398.360000    3.518211E-02       46.364510
    58398.510000    3.508911E-02       56.929320
    58398.630000    3.501452E-02       56.196830
    58399.240000    3.464877E-02       54.293960
    58399.370000    3.456890E-02       49.516430
    58399.490000    3.449645E-02       50.575250
    58400.550000    3.386905E-02       64.530750
    58400.700000    3.378123E-02       72.952330
    58400.810000    3.371430E-02       67.995130
    58401.700000    3.319830E-02      135.637400
    58402.950000    3.248695E-02        6.135820
    58403.880000    3.196832E-02        5.019766
    58405.100000    3.129762E-02      102.135100
