58381.1732544 1.925750414450642e+36 4.845069375499773e+37 5.037644416944837e+37 
58382.7394813 3.5925266624766064e+36 4.653717325654913e+37 5.012969991902574e+37 
58383.5353725 9.563128688460023e+36 4.1039305246101534e+37 5.060243393456156e+37 
58385.2831387 1.109941270774817e+37 3.451437393358536e+37 4.561378664133353e+37 
58387.2709512 1.4404560102463652e+37 2.3211328606639594e+37 3.7615888709103244e+37 
58389.0139489 1.5121678487917696e+37 1.020469431942201e+37 2.5326372807339706e+37 
58389.1573517 1.555965631605075e+37 9.246981739382249e+36 2.4806638055433e+37 
58389.2911595 1.5488166189124733e+37 8.9536476554959e+36 2.4441813844620633e+37 
58389.775523 1.6091628586750486e+37 6.391458891858117e+36 2.24830874786086e+37 
58389.9631271 1.5177491558612386e+37 6.254606617424864e+36 2.143209817603725e+37 
58390.0834975 1.5007211389716208e+37 6.220137712744823e+36 2.122734910246103e+37 
58390.8020507 1.4832009671818713e+37 5.094481623274399e+36 1.992649129509311e+37 
58390.9525021 1.4262642613526275e+37 4.484355146389642e+36 1.8746997759915918e+37 
58391.0769003 1.4308694127493388e+37 4.091664348290441e+36 1.8400358475783829e+37 
58391.8201526 1.3816562311673271e+37 2.982634245778786e+36 1.6799196557452057e+37 
58391.9464373 1.384841277721974e+37 3.029702602661423e+36 1.6878115379881162e+37 
58392.0704651 1.3655260828700776e+37 2.80027059501065e+36 1.6455531423711426e+37 
58393.1222128 1.2849907458229495e+37 2.865497276364242e+36 1.5715404734593736e+37 
58393.3309049 1.3430741797949127e+37 2.776514846105511e+36 1.6207256644054637e+37 
58394.8453146 1.1324003632355623e+37 1.8840828656596086e+36 1.3208086498015231e+37 
58394.9948054 1.1256412505761123e+37 1.7795082263063947e+36 1.3035920732067518e+37 
58395.1178725 1.1470966197735647e+37 2.0921845949503677e+36 1.3563150792686014e+37 
58395.6396781 1.08567540652902e+37 1.581248039270376e+36 1.2438002104560575e+37 
58395.7946549 1.0592537251772854e+37 1.6699366644155136e+36 1.2262473916188368e+37 
58395.9226294 5.696393733411853e+36 1.058034915996239e+36 6.754428649408091e+36 
58396.0441688 1.0197647600447121e+37 1.526862750026343e+36 1.1724510350473464e+37 
58397.096391 8.619855787057537e+36 1.16385801034434e+36 9.783713797401876e+36 
58397.2483239 8.59211339452086e+36 1.1814082519208923e+36 9.773521646441752e+36 
58397.370685 8.476176666354862e+36 1.1776059735208019e+36 9.653782639875663e+36 
58398.3572359 6.916716892895647e+36 8.0630620135473e+35 7.723023094250377e+36 
58398.5097359 6.008969504834816e+36 6.5493771459336936e+35 6.663907219428185e+36 
58398.6323285 5.765009137698591e+36 6.620640402704636e+35 6.427073177969055e+36 
58399.2372591 5.720052304159242e+36 6.781097674934325e+35 6.398162071652674e+36 
58399.3702105 5.878953159960777e+36 7.418224971807325e+35 6.62077565714151e+36 
58399.4910901 5.141620281354378e+36 7.247696519929941e+35 5.866389933347372e+36 
58400.5484975 5.415019189534928e+36 5.576991723756779e+35 5.972718361910607e+36 
58400.6980693 4.278583381637417e+36 4.920395356814511e+35 4.770622917318868e+36 
58400.8123285 4.302293159387941e+36 5.26865789697369e+35 4.82915894908531e+36 
58401.7008702 3.2643746754294847e+36 2.600758340964438e+35 3.524450509525929e+36 
58402.9487174 3.2411564884384365e+36 5.626003525795427e+36 8.867160014233865e+36 
58403.8758355 2.743468638524006e+36 6.76705957674187e+36 9.510528215265876e+36 
58405.0973632 2.7126889605169275e+36 3.256116987048546e+35 3.0383006592217824e+36 
58406.0253031 1.9440167385130113e+36   0.00000 1.9440167385130113e+36 
58406.8027683 1.8318925649537507e+36   0.00000 1.8318925649537507e+36 
58408.0811248 1.5173997214348018e+36  0.00000   1.5173997214348018e+36 
58408.8410091 7.418224971807324e+36   0.00000 7.418224971807324e+36 
58409.1089605 1.4740085409738172e+36 0.00000 1.4740085409738172e+36 
58410.9380114 1.382292653906135e+36 0.00000 1.382292653906135e+36 
58412.9900716 8.254675398117285e+35 0.00000 8.254675398117285e+35 
